Feature,Built-in Importance
BS,0.3373040127670874
Age,0.1114417513150352
SystolicBP,0.10832668068288953
MeanArterialPressure,0.10427613825493535
HeartRate,0.07329406441495152
SystolicDiastolicRatio,0.063686900354909
DiastolicBP,0.0627920909876888
PulsePressure,0.052952415020076755
BodyTemp,0.05213011265881418
AgeGroup_advanced_maternal_age,0.018085635753766708
AgeGroup_adult,0.015710197789845604
